Tag ID Code Standard,ID Standard,Tag ID Code Sensor I,ID Sensor I,Tag ID Code Sensor II,ID Sensor II,Release Date,Tag Life,Expiration date,Tag Family,Tag Type,Channel,Primary Tagging Organization,Primary Researcher,Collaborators,Common Name,Scientific Name,Release Location,Pectoral T-bar,Dorsal T-bar,PIT tag,Dart tag,Roto/Flipper/Disc,Attachment method,Comments
A69-1601-31656,31656,,,,,8/15/2012,855,12/18/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31657,31657,,,,,8/15/2012,855,12/18/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31658,31658,,,,,8/17/2012,855,12/20/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31659,31659,,,,,8/17/2012,855,12/20/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31660,31660,,,,,8/17/2012,855,12/20/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31661,31661,,,,,8/17/2012,855,12/20/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31662,31662,,,,,8/17/2012,855,12/20/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31760,31760,,,,,4/11/2013,962,11/29/2015,V13-1x,Standard,,DC. Fisheries & Wildlife,Eric Thadey,,Striped bass,Morone saxatilis,Potomac River,,551173,,,,Internal,
A69-1601-31761,31761,,,,,4/26/2012,961,12/13/2014,V13-1x,Standard,,DC. Fisheries & Wildlife,Eric Thadey,,Striped bass,Morone saxatilis,Potomac River,,551184,,,,Internal,
A69-1601-31762,31762,,,,,4/26/2012,961,12/13/2014,V13-1x,Standard,,DC. Fisheries & Wildlife,Eric Thadey,,Striped bass,Morone saxatilis,Potomac River,,551187,,,,Internal,
A69-1601-31763,31763,,,,,4/19/2012,961,12/6/2014,V13-1x,Standard,,DC. Fisheries & Wildlife,Eric Thadey,,Striped bass,Morone saxatilis,Potomac River,,551149,,,,Internal,
A69-1601-31764,31764,,,,,4/12/2012,961,11/29/2014,V13-1x,Standard,,DC. Fisheries & Wildlife,Eric Thadey,,Striped bass,Morone saxatilis,Potomac River,,551141,,,,Internal,
A69-1601-31765,31765,,,,,4/26/2012,961,12/13/2014,V13-1x,Standard,,DC. Fisheries & Wildlife,Eric Thadey,,Striped bass,Morone saxatilis,Potomac River,,551158,,,,Internal,
A69-1601-31766,31766,,,,,4/26/2012,961,12/13/2014,V13-1x,Standard,,DC. Fisheries & Wildlife,Eric Thadey,,Striped bass,Morone saxatilis,Potomac River,,551156,,,,Internal,
A69-1601-31767,31767,,,,,4/24/2012,961,12/11/2014,V13-1x,Standard,,DC. Fisheries & Wildlife,Eric Thadey,,Striped bass,Morone saxatilis,Potomac River,,551199,,,,Internal,
A69-1601-31768,31768,,,,,4/12/2012,961,11/29/2014,V13-1x,Standard,,DC. Fisheries & Wildlife,Eric Thadey,,Striped bass,Morone saxatilis,Potomac River,,551162,,,,Internal,
A69-1601-31769,31769,,,,,4/12/2012,961,11/29/2014,V13-1x,Standard,,DC. Fisheries & Wildlife,Eric Thadey,,Striped bass,Morone saxatilis,Potomac River,,551143,,,,Internal,
A69-1601-31770,31770,,,,,4/26/2012,961,12/13/2014,V13-1x,Standard,,DC. Fisheries & Wildlife,Eric Thadey,,Striped bass,Morone saxatilis,Potomac River,,551157,,,,Internal,
A69-1601-31771,31771,,,,,4/26/2012,961,12/13/2014,V13-1x,Standard,,DC. Fisheries & Wildlife,Eric Thadey,,Striped bass,Morone saxatilis,Potomac River,,551185,,,,Internal,
A69-1601-31772,31772,,,,,4/12/2012,961,11/29/2014,V13-1x,Standard,,DC. Fisheries & Wildlife,Eric Thadey,,Striped bass,Morone saxatilis,Potomac River,,551161,,,,Internal,
A69-1601-31773,31773,,,,,4/12/2012,961,11/29/2014,V13-1x,Standard,,DC. Fisheries & Wildlife,Eric Thadey,,Striped bass,Morone saxatilis,Potomac River,,551163,,,,Internal,
A69-1601-31775,31775,,,,,4/5/2012,961,11/22/2014,V13-1x,Standard,,DC. Fisheries & Wildlife,Eric Thadey,,Striped bass,Morone saxatilis,Potomac River,,551147,,,,Internal,
A69-1601-31776,31776,,,,,3/27/2012,961,11/13/2014,V13-1x,Standard,,DC. Fisheries & Wildlife,Eric Thadey,,Striped bass,Morone saxatilis,Potomac River,,551139,,,,Internal,
